id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
harimau,Panthera tigris,Panthera tigris,http://www.wikidata.org/entity/Q19939,harimau,tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
orangutan_sumatra,Pongo abelii,Pongo abelii,http://www.wikidata.org/entity/Q543424,Orangutan sumatera,Sumatran orangutan,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
orangutan_kalimantan,Pongo pygmaeus,Pongo pygmaeus,http://www.wikidata.org/entity/Q599672,Orangutan kalimantan,Bornean orangutan,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
komodo,Varanus komodoensis,Varanus komodoensis,http://www.wikidata.org/entity/Q4504,komodo,Komodo dragon,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jalak_bali,Leucopsar rothschildi,Leucopsar rothschildi,http://www.wikidata.org/entity/Q756868,jalak bali,Bali Myna,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Leucopsar,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
elang_jawa,Nisaetus bartelsi,Nisaetus bartelsi,http://www.wikidata.org/entity/Q795558,Elang jawa,Javan hawk-eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
babirusa_sulawesi,Babyrousa celebensis,Babyrousa celebensis,http://www.wikidata.org/entity/Q1934992,Babirusa sulawesi-utara,North Sulawesi babirusa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
maleo,Macrocephalon maleo,Macrocephalon maleo,http://www.wikidata.org/entity/Q836291,maleo senkawor,Maleo,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Macrocephalon,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
gajah_sumatra,Elephas maximus,Elephas maximus,http://www.wikidata.org/entity/Q133006,Gajah Asia,Asian elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
badak_jawa,Rhinoceros sondaicus,Rhinoceros sondaicus,http://www.wikidata.org/entity/Q170311,Badak Sunda,Javan rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
