id,nama_latin,nama_indonesia,nama_inggris,kingdom,kelas,ordo,family,genus,kategori,habitat,deskripsi,sinonim_ilmiah,status_endemik,sumber_data
kucing,Felis catus,Kucing,Domestic cat,Animalia,Mammalia,Carnivora,Felidae,Felis,Mamalia,Lingkungan domestik,spesies mamalia,Felis catus domestica|Felis domesticus|Felis lybica domestica|Felis maniculata|Felis maniculata domestica,Tidak endemik,GBIF: https://www.gbif.org/species/2435035; Wikidata: http://www.wikidata.org/entity/Q20980826
harimau,Panthera tigris,harimau,tiger,Animalia,Mammalia,Carnivora,Felidae,Panthera,Mamalia,Hutan tropis dan padang rumput,jenis kucing besar dari genus Panthera,Felis tigris,Tidak endemik,GBIF: https://www.gbif.org/species/5219416; Wikidata: http://www.wikidata.org/entity/Q19939
orangutan_sumatra,Pongo abelii,Orangutan sumatera,Sumatran orangutan,Animalia,Mammalia,Primates,Hominidae,Pongo,Mamalia,Hutan hujan Sumatra,Bisa ditemukan di Taman Nasional Bali Barat,Pithecus satyrus abelii|Pithecus satyrus abongensis|Pithecus satyrus deliensis|Pithecus satyrus langkatensis|Simia abelii,Endemik Indonesia,GBIF: https://www.gbif.org/species/5707420; Wikidata: http://www.wikidata.org/entity/Q543424
orangutan_kalimantan,Pongo pygmaeus,Orangutan kalimantan,Bornean orangutan,Animalia,Mammalia,Primates,Hominidae,Pongo,Mamalia,Hutan hujan Kalimantan,Spesies orang utan asli pulau Kalimantan,Simia pygmaeus,Tidak endemik,GBIF: https://www.gbif.org/species/5219532; Wikidata: http://www.wikidata.org/entity/Q599672
komodo,Varanus komodoensis,komodo,Komodo dragon,Animalia,Reptilia,Squamata,Varanidae,Varanus,Reptil,Savana dan hutan kering Nusa Tenggara,spesies kadal terbesar di dunia yang hidup di Pulau Komodo,-,Endemik Indonesia,GBIF: https://www.gbif.org/species/2470854; Wikidata: http://www.wikidata.org/entity/Q4504
jalak_bali,Leucopsar rothschildi,jalak bali,Bali Myna,Animalia,Aves,Passeriformes,Sturnidae,Leucopsar,Burung,Hutan musim Bali,spesies burung,-,Endemik Indonesia,GBIF: https://www.gbif.org/species/2489068; Wikidata: http://www.wikidata.org/entity/Q756868
elang_jawa,Nisaetus bartelsi,Elang jawa,Javan hawk-eagle,Animalia,Aves,Accipitriformes,Accipitridae,Nisaetus,Burung,Hutan pegunungan Jawa,spesies burung,Spizaetus bartelsi,Endemik Indonesia,GBIF: https://www.gbif.org/species/5788506; Wikidata: http://www.wikidata.org/entity/Q795558
babirusa_sulawesi,Babyrousa celebensis,Babirusa sulawesi-utara,North Sulawesi babirusa,Animalia,Mammalia,Artiodactyla,Suidae,Babyrousa,Mamalia,Hutan Sulawesi,Babirusa sulawesi adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan Sulawesi. Status endemik: Endemik Indonesia.,Babirussa celebensis|Babyrousa babyrussa celebensis|Babyrousa babyrussa merkusi|Babyrousa merkusi,Endemik Indonesia,GBIF: https://www.gbif.org/species/4262912; Wikidata: http://www.wikidata.org/entity/Q1934992
maleo,Macrocephalon maleo,maleo senkawor,Maleo,Animalia,Aves,Galliformes,Megapodiidae,Macrocephalon,Burung,Hutan dan pantai berpasir Sulawesi,spesies burung,-,Endemik Indonesia,GBIF: https://www.gbif.org/species/2482154; Wikidata: http://www.wikidata.org/entity/Q836291
gajah_sumatra,Elephas maximus,Gajah Asia,Asian elephant,Animalia,Mammalia,Proboscidea,Elephantidae,Elephas,Mamalia,Hutan dataran rendah Sumatra,Gajah sumatra adalah entri leksikon fauna Indonesia kategori Mamalia dengan habitat utama Hutan dataran rendah Sumatra. Status endemik: Tidak endemik.,Elephas asiaticus|Elephas gigas,Tidak endemik,GBIF: https://www.gbif.org/species/5219461; Wikidata: http://www.wikidata.org/entity/Q133006
